future_opt	future	condition	is_impossible_choice	explanation_text	written_explanation	question_choice_order	selected_answer_position	future_choice	future_text	ts_is_same_dataset_start	ts_submitted_	study_id	study	is_correct	is_possible	id
static_ani	when the objects move it helps to visualize the information in a way static images would not.	stepthru	possible	mystery-work-on-left	None	{'left-not-stat-sig':0,'left-more-than-right':1,'more-masters-in-industry':2,'outliers-drive-up-masters':3,'non-grads-on-right':4,'mystery-work-on-left':5,'many-industry-on-right':6,'none-of-the-above':7}	5	static_ani	when the objects move it helps to visualize the information in a way static images would not.	2020-09-10 09:16:58	2020-09-10 09:21:37	simpsons_multiple_choice_sanddance	sanddance	FALSE	TRUE	11
just_static	The animations are just more annoying.	static	possible	many-industry-on-right	It depends on the job they have. Many people with academia backgrounds need higher education but get paid less. People in industry jobs don't need PhD but regardless they get paid more.	{'left-not-stat-sig':0,'mystery-work-on-left':1,'left-more-than-right':2,'many-industry-on-right':3,'outliers-drive-up-masters':4,'more-masters-in-industry':5,'non-grads-on-right':6,'none-of-the-above':7}	3	just_static	The animations are just more annoying.	2020-09-10 08:16:42	2020-09-10 08:21:35	simpsons_multiple_choice_tibble	tibble	FALSE	TRUE	12
static_ani	I actually like the animations, it helps visualize who works where and how the clusters show where more  people have a masters or Phd	static	impossible	more-masters-in-industry	None	{'mystery-work-on-left':0,'left-not-stat-sig':1,'more-masters-in-industry':2,'non-grads-on-right':3,'outliers-drive-up-masters':4,'left-more-than-right':5,'many-industry-on-right':6,'none-of-the-above':7}	2	static_ani	I actually like the animations, it helps visualize who works where and how the clusters show where more  people have a masters or Phd	2020-09-10 09:19:29	2020-09-10 09:21:47	simpsons_multiple_choice_sanddance	sanddance	TRUE	FALSE	13
static_ani	The animations can be interesting and it can be helpful to see how the data is being arranged, but the static charts are really important in order to actually read the end result.	stepthru	possible	outliers-drive-up-masters	None	{'more-masters-in-industry':0,'left-not-stat-sig':1,'outliers-drive-up-masters':2,'non-grads-on-right':3,'many-industry-on-right':4,'left-more-than-right':5,'mystery-work-on-left':6,'none-of-the-above':7}	2	static_ani	The animations can be interesting and it can be helpful to see how the data is being arranged, but the static charts are really important in order to actually read the end result.	2020-09-10 09:16:02	2020-09-10 09:21:55	simpsons_multiple_choice_sanddance	sanddance	FALSE	TRUE	14
static_ani	Animations like these helps the viewer understand the process of coming to the conclusion. Static charts only show you the final answer.	stepthru	impossible	more-masters-in-industry	None	{'left-more-than-right':0,'more-masters-in-industry':1,'left-not-stat-sig':2,'outliers-drive-up-masters':3,'mystery-work-on-left':4,'non-grads-on-right':5,'many-industry-on-right':6,'none-of-the-above':7}	1	static_ani	Animations like these helps the viewer understand the process of coming to the conclusion. Static charts only show you the final answer.	2020-09-10 09:16:04	2020-09-10 09:22:10	simpsons_multiple_choice_sanddance	sanddance	TRUE	FALSE	15
static_ani	It makes you understand the chart better and see how they get the final statistic.	static	impossible	more-masters-in-industry	None	{'left-more-than-right':0,'outliers-drive-up-masters':1,'left-not-stat-sig':2,'many-industry-on-right':3,'more-masters-in-industry':4,'mystery-work-on-left':5,'non-grads-on-right':6,'none-of-the-above':7}	4	static_ani	It makes you understand the chart better and see how they get the final statistic.	2020-09-10 08:17:35	2020-09-10 08:22:21	simpsons_multiple_choice_sanddance	sanddance	TRUE	FALSE	16
static_ani	Yes, this is a great way to show how the 100 broke down into the industries. Very helpful animation.	static	impossible	more-masters-in-industry	It would be informative to know how many of the 100 people did break down into the industries on the right side.	{'more-masters-in-industry':0,'left-more-than-right':1,'left-not-stat-sig':2,'many-industry-on-right':3,'non-grads-on-right':4,'outliers-drive-up-masters':5,'mystery-work-on-left':6,'none-of-the-above':7}	0	static_ani	Yes, this is a great way to show how the 100 broke down into the industries. Very helpful animation.	2020-09-10 08:16:26	2020-09-10 08:22:24	simpsons_multiple_choice_tibble	tibble	TRUE	FALSE	17
static_ani	The animations provide additional insight into how the static charts turned out the way they did, so I see only positives to including them. If someone found them distracting or did not understand them, they could always just ignore them.	static	impossible	more-masters-in-industry	If there were way more people with master's working in industry, which pays more, and way more people with PhDs working in academia, which pays less, I believe that could explain this apparent paradox.	{'left-more-than-right':0,'more-masters-in-industry':1,'outliers-drive-up-masters':2,'mystery-work-on-left':3,'left-not-stat-sig':4,'non-grads-on-right':5,'many-industry-on-right':6,'none-of-the-above':7}	1	static_ani	The animations provide additional insight into how the static charts turned out the way they did, so I see only positives to including them. If someone found them distracting or did not understand them, they could always just ignore them.	2020-09-10 09:16:42	2020-09-10 09:23:07	simpsons_multiple_choice_sanddance	sanddance	TRUE	FALSE	18
just_static	"They may be helpful for those who prefer ""visual learning,"" but I personally don't find that they add to my understanding of the material."	stepthru	possible	more-masters-in-industry	This was my thought before the options were given, so I feel I am probably correct.	{'outliers-drive-up-masters':0,'left-more-than-right':1,'left-not-stat-sig':2,'mystery-work-on-left':3,'many-industry-on-right':4,'more-masters-in-industry':5,'non-grads-on-right':6,'none-of-the-above':7}	5	just_static	They may be helpful for those who prefer	2020-09-10 08:17:21	2020-09-10 08:23:39	simpsons_multiple_choice_tibble	tibble	TRUE	TRUE	19
static_ani	Definitely helpful, way easier to understand.	static	possible	more-masters-in-industry	None	{'left-more-than-right':0,'mystery-work-on-left':1,'outliers-drive-up-masters':2,'non-grads-on-right':3,'more-masters-in-industry':4,'left-not-stat-sig':5,'many-industry-on-right':6,'none-of-the-above':7}	4	static_ani	Definitely helpful, way easier to understand.	2020-09-10 09:20:37	2020-09-10 09:23:54	simpsons_multiple_choice_tibble	tibble	TRUE	TRUE	20
static_ani	Animations provide some context to the final static charts and leave less room for manipulation and misinterpretation	stepthru	impossible	more-masters-in-industry	Very interesting. I thought it impossible because I was unsure what the vertical line through the dot stood for, and I assumed it to be the range. The range for PhD has a higher maximum than Master's, so I thought that the shorter vertical line was incorrect. But now I see my error. Very interesting and eye-opening display of how graphical representations of data can me misunderstood	{'many-industry-on-right':0,'more-masters-in-industry':1,'non-grads-on-right':2,'mystery-work-on-left':3,'outliers-drive-up-masters':4,'left-not-stat-sig':5,'left-more-than-right':6,'none-of-the-above':7}	1	static_ani	Animations provide some context to the final static charts and leave less room for manipulation and misinterpretation	2020-09-10 08:15:48	2020-09-10 08:23:58	simpsons_multiple_choice_sanddance	sanddance	TRUE	FALSE	21
static_ani	While I understand the static charts, the animation helps visualize the context of the different variables.	stepthru	possible	more-masters-in-industry	None	{'non-grads-on-right':0,'many-industry-on-right':1,'mystery-work-on-left':2,'left-more-than-right':3,'outliers-drive-up-masters':4,'more-masters-in-industry':5,'left-not-stat-sig':6,'none-of-the-above':7}	5	static_ani	While I understand the static charts, the animation helps visualize the context of the different variables.	2020-09-10 08:18:20	2020-09-10 08:24:14	simpsons_multiple_choice_sanddance	sanddance	TRUE	TRUE	22
static_ani	The animated table was very nice.	static	possible	mystery-work-on-left	It is very easy study.	{'mystery-work-on-left':0,'left-more-than-right':1,'many-industry-on-right':2,'more-masters-in-industry':3,'outliers-drive-up-masters':4,'left-not-stat-sig':5,'non-grads-on-right':6,'none-of-the-above':7}	0	static_ani	The animated table was very nice.	2020-09-10 08:15:48	2020-09-10 08:24:19	simpsons_multiple_choice_tibble	tibble	FALSE	TRUE	23
just_static	THIS ANIMATIONS IS AMAZING.  I LIKE THIS ANIMATIION.	static	impossible	more-masters-in-industry	I AGREE THIS STATEMENT.	{'many-industry-on-right':0,'non-grads-on-right':1,'more-masters-in-industry':2,'left-not-stat-sig':3,'left-more-than-right':4,'mystery-work-on-left':5,'outliers-drive-up-masters':6,'none-of-the-above':7}	2	just_static	THIS ANIMATIONS IS AMAZING.  I LIKE THIS ANIMATIION.	2020-09-10 09:21:57	2020-09-10 09:24:32	simpsons_multiple_choice_sanddance	sanddance	TRUE	FALSE	24
static_ani	I think that the animations give you a greater amount of detail which better tells the whole story. More information is usually better	static	impossible	outliers-drive-up-masters	Typically it's the outliers that can drag the averages up or down if you are sectioning them off into groups compared to putting them all together.	{'many-industry-on-right':0,'outliers-drive-up-masters':1,'left-not-stat-sig':2,'mystery-work-on-left':3,'more-masters-in-industry':4,'left-more-than-right':5,'non-grads-on-right':6,'none-of-the-above':7}	1	static_ani	I think that the animations give you a greater amount of detail which better tells the whole story. More information is usually better	2020-09-10 09:22:28	2020-09-10 09:24:54	simpsons_multiple_choice_sanddance	sanddance	FALSE	FALSE	25
just_static	THE STATIC CHARTS IS INTERESTED	static	impossible	non-grads-on-right	GOOD	{'many-industry-on-right':0,'left-not-stat-sig':1,'mystery-work-on-left':2,'non-grads-on-right':3,'left-more-than-right':4,'outliers-drive-up-masters':5,'more-masters-in-industry':6,'none-of-the-above':7}	3	just_static	THE STATIC CHARTS IS INTERESTED	2020-09-10 09:20:59	2020-09-10 09:25:08	simpsons_multiple_choice_sanddance	sanddance	FALSE	FALSE	26
static_ani	The animated charts looks better and would better show the changing numbers over time.	static	impossible	many-industry-on-right	None	{'left-not-stat-sig':0,'left-more-than-right':1,'more-masters-in-industry':2,'mystery-work-on-left':3,'non-grads-on-right':4,'outliers-drive-up-masters':5,'many-industry-on-right':6,'none-of-the-above':7}	6	static_ani	The animated charts looks better and would better show the changing numbers over time.	2020-09-10 09:19:39	2020-09-10 09:25:15	simpsons_multiple_choice_sanddance	sanddance	FALSE	FALSE	27
static_ani	I think the animations are very helpful.  They help people understand and interpret data.  I am not good at math and it helps me to see it visually.	static	possible	none-of-the-above	This was very puzzling to me.  I really do not think any of the above could explain the differences. If both tables are talking about the same set of 100 people I just don't understand how they can show different averages and still be the same.	{'outliers-drive-up-masters':0,'more-masters-in-industry':1,'left-more-than-right':2,'non-grads-on-right':3,'many-industry-on-right':4,'mystery-work-on-left':5,'left-not-stat-sig':6,'none-of-the-above':7}	7	static_ani	I think the animations are very helpful.  They help people understand and interpret data.  I am not good at math and it helps me to see it visually.	2020-09-10 08:15:37	2020-09-10 08:25:37	simpsons_multiple_choice_tibble	tibble	FALSE	TRUE	28
static_ani	all done on 'the ones and twos,' referring to the frequency of key frames (or key poses) occurring either every single frame or every other frame. ... Snow White, Disney's first full-length animated feature	static	impossible	non-grads-on-right	good	{'mystery-work-on-left':0,'more-masters-in-industry':1,'outliers-drive-up-masters':2,'left-more-than-right':3,'non-grads-on-right':4,'left-not-stat-sig':5,'many-industry-on-right':6,'none-of-the-above':7}	4	static_ani	all done on 'the ones and twos,' referring to the frequency of key frames (or key poses) occurring either every single frame or every other frame. ... Snow White, Disney's first full-length animated feature	2020-09-10 06:24:36	2020-09-10 06:25:34	simpsons_multiple_choice_tibble	tibble	FALSE	FALSE	29
static_ani	very great in the tables is very important	static	impossible	non-grads-on-right	very interest	{'left-not-stat-sig':0,'non-grads-on-right':1,'more-masters-in-industry':2,'many-industry-on-right':3,'mystery-work-on-left':4,'outliers-drive-up-masters':5,'left-more-than-right':6,'none-of-the-above':7}	1	static_ani	very great in the tables is very important	2020-09-10 07:17:01	2020-09-10 07:25:44	simpsons_multiple_choice_tibble	tibble	FALSE	FALSE	30
static_ani	I think the more ways you can show data, the better! Charts are often misleading, just like if we only saw the first graph we might think that having a PhD means nothing, but the more ways we can view the data the better a grasp we have at their meaning.	static	possible	more-masters-in-industry	I think just looking at the chart you can see how depending on each sample size for each category, they could be pulled to either extreme in the grand total graph (left).	{'non-grads-on-right':0,'outliers-drive-up-masters':1,'mystery-work-on-left':2,'left-not-stat-sig':3,'left-more-than-right':4,'more-masters-in-industry':5,'many-industry-on-right':6,'none-of-the-above':7}	5	static_ani	I think the more ways you can show data, the better! Charts are often misleading, just like if we only saw the first graph we might think that having a PhD means nothing, but the more ways we can view the data the better a grasp we have at their meaning.	2020-09-10 09:22:01	2020-09-10 09:26:21	simpsons_multiple_choice_sanddance	sanddance	TRUE	TRUE	31
static_ani	I like that it visualizes the details so you can see the computational process that went into the chart.	static	possible	none-of-the-above	There are more PhDs in academia (lower salary) and more Masters in Industry (higher salary), causing the PhD salary average to skew downwards and the Masters salary average to skew upwards.	{'non-grads-on-right':0,'left-not-stat-sig':1,'left-more-than-right':2,'mystery-work-on-left':3,'many-industry-on-right':4,'outliers-drive-up-masters':5,'more-masters-in-industry':6,'none-of-the-above':7}	7	static_ani	I like that it visualizes the details so you can see the computational process that went into the chart.	2020-09-10 09:20:23	2020-09-10 09:27:01	simpsons_multiple_choice_sanddance	sanddance	FALSE	TRUE	32
just_static	"I think the static tables can be helpful for some but it might be ""too much"" for some and thus confuse them more."	static	possible	outliers-drive-up-masters	I was wavering between two choices. The one I chose and the first option.	{'more-masters-in-industry':0,'non-grads-on-right':1,'left-more-than-right':2,'outliers-drive-up-masters':3,'many-industry-on-right':4,'mystery-work-on-left':5,'left-not-stat-sig':6,'none-of-the-above':7}	3	just_static	I think the static tables can be helpful for some but it might be	2020-09-10 06:19:01	2020-09-10 06:27:17	simpsons_multiple_choice_tibble	tibble	FALSE	TRUE	33
just_static	more solid info for me in static	stepthru	impossible	more-masters-in-industry	None	{'left-more-than-right':0,'mystery-work-on-left':1,'non-grads-on-right':2,'more-masters-in-industry':3,'left-not-stat-sig':4,'outliers-drive-up-masters':5,'many-industry-on-right':6,'none-of-the-above':7}	3	just_static	more solid info for me in static	2020-09-10 08:20:31	2020-09-10 08:27:58	simpsons_multiple_choice_sanddance	sanddance	TRUE	FALSE	34
static_ani	that static depictions avoid, and may mislead if the animations violate the. In this paper, we investigate the design of animated transitions between. the best performance, though user preferences varied	stepthru	impossible	more-masters-in-industry	phd degree and master degree work is different in that situation	{'more-masters-in-industry':0,'many-industry-on-right':1,'left-not-stat-sig':2,'non-grads-on-right':3,'left-more-than-right':4,'outliers-drive-up-masters':5,'mystery-work-on-left':6,'none-of-the-above':7}	0	static_ani	that static depictions avoid, and may mislead if the animations violate the. In this paper, we investigate the design of animated transitions between. the best performance, though user preferences varied	2020-09-10 08:21:10	2020-09-10 08:27:58	simpsons_multiple_choice_sanddance	sanddance	TRUE	FALSE	35
just_static	It is easier for me to read the tables rather than animations like these because I can read at my own pace and not have to feel rushed to obtain the information.	static	impossible	outliers-drive-up-masters	None	{'left-not-stat-sig':0,'many-industry-on-right':1,'non-grads-on-right':2,'left-more-than-right':3,'more-masters-in-industry':4,'outliers-drive-up-masters':5,'mystery-work-on-left':6,'none-of-the-above':7}	5	just_static	It is easier for me to read the tables rather than animations like these because I can read at my own pace and not have to feel rushed to obtain the information.	2020-09-10 09:19:24	2020-09-10 09:28:41	simpsons_multiple_choice_tibble	tibble	FALSE	FALSE	36
just_static	The animated charts were a bit distracting and hard to read. I wanted to observe the data but then the animation loop would start again. It took longer to interpret the data than it would have if the chart was static.	stepthru	impossible	more-masters-in-industry	None	{'non-grads-on-right':0,'outliers-drive-up-masters':1,'mystery-work-on-left':2,'more-masters-in-industry':3,'left-not-stat-sig':4,'left-more-than-right':5,'many-industry-on-right':6,'none-of-the-above':7}	3	just_static	The animated charts were a bit distracting and hard to read. I wanted to observe the data but then the animation loop would start again. It took longer to interpret the data than it would have if the chart was static.	2020-09-10 09:22:44	2020-09-10 09:28:44	simpsons_multiple_choice_sanddance	sanddance	TRUE	FALSE	37
static_ani	Static charts only have the data.instead static with animation charts will have kind of 3D explainations	static	possible	more-masters-in-industry	In the left chart most of the people with a master's degree work in industry, which pays more and drives up the average master's salary.	{'left-more-than-right':0,'non-grads-on-right':1,'many-industry-on-right':2,'left-not-stat-sig':3,'more-masters-in-industry':4,'outliers-drive-up-masters':5,'mystery-work-on-left':6,'none-of-the-above':7}	4	static_ani	Static charts only have the data.instead static with animation charts will have kind of 3D explainations	2020-09-10 06:21:05	2020-09-10 06:28:54	simpsons_multiple_choice_sanddance	sanddance	TRUE	TRUE	38
static_ani	I think it would be helpful since data can be presented in such a way as to reflect whatever  conclusion you want. Knowing the process would at least make it easier to understand the conclusion presented.	stepthru	possible	outliers-drive-up-masters	None	{'left-not-stat-sig':0,'left-more-than-right':1,'non-grads-on-right':2,'mystery-work-on-left':3,'outliers-drive-up-masters':4,'more-masters-in-industry':5,'many-industry-on-right':6,'none-of-the-above':7}	4	static_ani	I think it would be helpful since data can be presented in such a way as to reflect whatever  conclusion you want. Knowing the process would at least make it easier to understand the conclusion presented.	2020-09-10 08:21:58	2020-09-10 08:29:03	simpsons_multiple_choice_tibble	tibble	FALSE	TRUE	39
just_static	The animations are a distraction. I don't need to know how the figures were obtained. Just give me the information.	static	possible	more-masters-in-industry	None	{'left-more-than-right':0,'outliers-drive-up-masters':1,'mystery-work-on-left':2,'many-industry-on-right':3,'left-not-stat-sig':4,'non-grads-on-right':5,'more-masters-in-industry':6,'none-of-the-above':7}	6	just_static	The animations are a distraction. I don't need to know how the figures were obtained. Just give me the information.	2020-09-10 09:24:53	2020-09-10 09:29:22	simpsons_multiple_choice_tibble	tibble	TRUE	TRUE	40
just_static	They are helpful, but I would like to view the end result longer.	stepthru	possible	more-masters-in-industry	None	{'more-masters-in-industry':0,'outliers-drive-up-masters':1,'non-grads-on-right':2,'mystery-work-on-left':3,'many-industry-on-right':4,'left-not-stat-sig':5,'left-more-than-right':6,'none-of-the-above':7}	0	just_static	They are helpful, but I would like to view the end result longer.	2020-09-10 09:21:39	2020-09-10 09:29:26	simpsons_multiple_choice_tibble	tibble	TRUE	TRUE	41
just_static	It was difficult to understand the information in the animations without a way to pause it for further study.	stepthru	impossible	outliers-drive-up-masters	I have seen data sets where outliers (high or low) skew the average significantly. So this explanation seems plausible.	{'many-industry-on-right':0,'outliers-drive-up-masters':1,'left-not-stat-sig':2,'left-more-than-right':3,'more-masters-in-industry':4,'mystery-work-on-left':5,'non-grads-on-right':6,'none-of-the-above':7}	1	just_static	It was difficult to understand the information in the animations without a way to pause it for further study.	2020-09-10 08:23:46	2020-09-10 08:29:28	simpsons_multiple_choice_tibble	tibble	FALSE	FALSE	42
static_ani	I think the animated tables are helpful cause they give you a feel for what they look like. However, I think pairing this with static tables would help a lot to understand the tables (since you have to rewatch the entire animation to see the info again).	stepthru	possible	many-industry-on-right	None	{'many-industry-on-right':0,'mystery-work-on-left':1,'outliers-drive-up-masters':2,'more-masters-in-industry':3,'left-more-than-right':4,'left-not-stat-sig':5,'non-grads-on-right':6,'none-of-the-above':7}	0	static_ani	I think the animated tables are helpful cause they give you a feel for what they look like. However, I think pairing this with static tables would help a lot to understand the tables (since you have to rewatch the entire animation to see the info again).	2020-09-10 09:23:03	2020-09-10 09:29:53	simpsons_multiple_choice_tibble	tibble	FALSE	TRUE	43
just_static	They seemed a little confusing. Like a lot to take in	stepthru	possible	more-masters-in-industry	I was thinking people with a phd maybe more academic and it could pay less but people with a masters are probably more in the work field.	{'outliers-drive-up-masters':0,'more-masters-in-industry':1,'left-more-than-right':2,'left-not-stat-sig':3,'non-grads-on-right':4,'many-industry-on-right':5,'mystery-work-on-left':6,'none-of-the-above':7}	1	just_static	They seemed a little confusing. Like a lot to take in	2020-09-10 09:18:41	2020-09-10 09:30:11	simpsons_multiple_choice_tibble	tibble	TRUE	TRUE	44
just_static	Because I already understand how they came to this conclusion; the animation is a waste of time	static	possible	more-masters-in-industry	None	{'left-more-than-right':0,'non-grads-on-right':1,'outliers-drive-up-masters':2,'more-masters-in-industry':3,'many-industry-on-right':4,'mystery-work-on-left':5,'left-not-stat-sig':6,'none-of-the-above':7}	3	just_static	Because I already understand how they came to this conclusion; the animation is a waste of time	2020-09-10 09:27:33	2020-09-10 09:30:21	simpsons_multiple_choice_sanddance	sanddance	TRUE	TRUE	45
static_ani	That is pretty cool. I like the ability to show the steps and rationale behind the charts. You can add footnotes, but often they get overlooked.	static	possible	more-masters-in-industry	I agree with the first answer. That is what I was thinking before the choices were presented.	{'more-masters-in-industry':0,'outliers-drive-up-masters':1,'many-industry-on-right':2,'left-not-stat-sig':3,'mystery-work-on-left':4,'left-more-than-right':5,'non-grads-on-right':6,'none-of-the-above':7}	0	static_ani	That is pretty cool. I like the ability to show the steps and rationale behind the charts. You can add footnotes, but often they get overlooked.	2020-09-10 09:23:43	2020-09-10 09:30:31	simpsons_multiple_choice_sanddance	sanddance	TRUE	TRUE	46
just_static	I like the animation, but it is very small and hard to read so would prefer the static tables	static	possible	mystery-work-on-left	None	{'more-masters-in-industry':0,'non-grads-on-right':1,'left-not-stat-sig':2,'mystery-work-on-left':3,'outliers-drive-up-masters':4,'many-industry-on-right':5,'left-more-than-right':6,'none-of-the-above':7}	3	just_static	I like the animation, but it is very small and hard to read so would prefer the static tables	2020-09-10 08:26:45	2020-09-10 08:30:50	simpsons_multiple_choice_tibble	tibble	FALSE	TRUE	47
static_ani	I found the animation intriguing.  I would go for that and I think it provides another way to analyze the charge.  As it kept going though I had to stop looking because it went from intriguing to irritating.  Again, just my opinion.	static	possible	more-masters-in-industry	I am a retired C-Suite executive.  People with a MBA working for a Fortune 100-500 company would and should be making a very good salary.  Often times these salaries are tied into stock options, bonuses, perks, etc.  My husband was also a C-Suite executive and did work for a Fortune 100 company.  On the left chart, it is my believe, that individuals such as these will wipe out the Academia salaries.  There are some professors that make huge salaries at Ivy League schools.  But for every one of them, there are 100's who make a decent living but not compared to the MBA's on Wall Street, etc.  Just my opinion and the connections and friends I have in both worlds who are at the top of their respective field or have recently retired from said position.	{'left-not-stat-sig':0,'outliers-drive-up-masters':1,'mystery-work-on-left':2,'many-industry-on-right':3,'more-masters-in-industry':4,'left-more-than-right':5,'non-grads-on-right':6,'none-of-the-above':7}	4	static_ani	I found the animation intriguing.  I would go for that and I think it provides another way to analyze the charge.  As it kept going though I had to stop looking because it went from intriguing to irritating.  Again, just my opinion.	2020-09-10 09:21:19	2020-09-10 09:30:51	simpsons_multiple_choice_sanddance	sanddance	TRUE	TRUE	48
